"pubkey","epochs_delegation_criteria_met_last_10","no_epochs_at_least_100_stake","avg_activated_stake_lamports_last_10"
6uttVyMD5xcLR6tUd7Lf2NVeR2HH7oQarJxk5fDcPKes,0,114,14685336
ERGGpaBaRmZVcWGxeZARBUKLju6WUAdw8jsWraD8aqwZ,0,75,9720935
DFbCcZDvr6VmbLCYMQouoraFNyLhYMCFezDCPxBGT7xa,0,113,8966357
H66Mg8Q5uAHdhDbruqERcAWYWSjuMLk1sw8q3QGdEwdQ,0,115,8391566
2B9iXLjX6o5mNc9TAx4FrioMZTvqU4i6n68vsTCt8svi,0,116,6850778
EUyVVK5dAVA7e6ZKxzmoEXzhitn1GYN84Nou5wWi8TXa,0,115,5981514
Cn4Bs7EBNxcVyEbS2HQaJTrmNHmpqUF2xYQkaxtuCfiA,0,115,5625383
GcVz5GEXzhJtijJid3SQ4Z3C2zyVJgdn72LYKHygNqnY,0,115,5529064
6xNiQSUULppSHw7beKSeqmzuRrTMLQf2DAA1W7TPfR2Z,0,114,5418271
2krQ9Bs1dYvwkQjZxxUnWDPqsJjotPsv2sAaGU9bEkzL,0,116,5091016
H4gLF9LMcZnSkrq5nmNBMTRr1Fu14cFnctzvpQv24jqV,0,116,4889033
3agAXJk2bvTJ8VmEGMDXbt22irKjYxZ2XybCRnUontvN,0,113,4748108
H6EqTwsdEiGTtsLHFGtYXX9fjzQzwhm7EWZovHtWwdiX,0,114,4745482
Bbwyhqvrho6Lp95ACp1Guw4z5JmG7t5gg3oWgt6nkyPS,0,114,4722840
D6hAUutntgTDsNFAEzJ4QjMD2MUPa7RXBN3iG2vT9rPv,0,19,4260479
2sbtALwdNCamY2SKu1TxMYcxjbGQUeEMvbw396cx9Jj9,0,116,4251207
4C8om5s9TaPQsrpEu9WiM3wxJk492Xx7cRrKbYCAXjjU,0,114,4231175
Bi2chTdkKfQpquShEQYMUea5mJtjMKm4V2TLL7kcau1Q,0,100,3979113
ZsbmBYD63W9mHEjqgj7rqf23MajBeYP9NLveKCnEkPf,0,15,3967337
5tUh5PdPdVSQVzadhm45mBcdGBUeHnTcaEruqfxw2GjM,0,115,3673899
59pY5QvqUfEqn9vGefSoyPzACQAAjjoNCSxjipkXUZTP,0,113,3598007
5frm8StgWrWBRSMLp5HSG8WzP9waWF5of1VvBrkzvbqV,8,116,3591851
E5THh1zEV5HRLJrmJ1MMmfE9ZpZiqbQmXXpeYZZjM9x6,0,113,3539757
AnQMw3C2aTC5iT27R5QsXXjKbnUoEAaVvsuApzPc7Dry,10,114,3313941
DRCDdTnzjM6MDhHowzKAMJ739xUnNwnxPcotZGR7bN2N,0,114,3259293
HeyeXu2dxxjBdwjDP4kA2Vzq5ifAC3eLZVuPe8QpVZvH,10,114,3252438
28TGJPHQQrZt4eJz9ZSyp4yGidzNB4ZbpHYVLRFdEH8t,0,114,3103971
2NENK4tKAHfJ4D6M8P7uPx7d7LTkFD32YdWPfxEquto2,0,115,3085664
GQJyKpf7nt2WRz99AU99GxmyXsvP3oBfmD486EC46wbg,10,115,2997489
GDUxAK8S4Q2aSkEvmfxVAUo7SmoecDqgXPhkduuddeh,10,114,2991087
EA5AF8GDNASCAyfKWZSAzxxzPFhx3eFsR915uvi2QuEQ,0,112,2916667
BwzpAnHkhhkqNVXRQt6GX4vtYsefjZ4L3rwLYJJkGQQa,0,115,2910674
9PNvfCBaxV4RVqZpJHmctLaxihDSxqXLha64ZgcgtHv1,0,113,2896230
98pZkZQoHSTxefg3PfXf8u4e28HazQYSZePbLmejKmni,10,115,2717812
7SsFqSs7kXUfx9GzUKpEfUajytBkGySW6Wem8cATRytp,0,114,2678344
4HMkJtMhCJxdDB1cthCDeniHqCkeA5E2NGxw6vDDxoQw,0,114,2662266
8yZa1TNYEBJPVFpvEVKLgxB99MPKZSK4T3NgfmChxzuW,10,113,2642675
EWquY4Gny2aBz1LRQadAWgkDJXTmMtwTACPG47cKP7uv,0,14,2602949
FUoBiUCVtD2ktJmSWq8UwFTJoUJHkojGgoTrFQKdu7yK,0,115,2546438
