"pubkey","epochs_delegation_criteria_met_last_10","no_epochs_at_least_100_stake","max_observed_commission_last_10","max_observed_mev_commission_last_10","avg_activated_stake_lamports_last_10"
"6D2jqw9hyVCpppZexquxa74Fn33rJzzBx38T58VucHx9",0,116,-Infinity,-Infinity,14365509
"CvSb7wdQAFpHuSpTYTJnX5SYH4hCfQ9VuGnqrKaKwycB",0,77,-Infinity,-Infinity,9650579
"26pV97Ce83ZQ6Kz9XT4td8tdoUFPTng8Fb8gPyc53dJx",0,115,-Infinity,-Infinity,8955481
"CcaHc2L43ZWjwCHART3oZoJvHLAe9hzT2DJNUpBzoTN1",0,117,-Infinity,-Infinity,8578854
"FKsC411dik9ktS6xPADxs4Fk2SCENvAiuccQHLAPndvk",0,118,-Infinity,-Infinity,6856528
"9QU2QSxhb24FUX3Tu2FpczXjpK3VYrvRudywSZaM29mF",0,117,-Infinity,-Infinity,6000364
"3N7s9zXMZ4QqvHQR15t5GNHyqc89KduzMP7423eWiD5g",0,117,-Infinity,-Infinity,5537425
"DumiCKHVqoCQKD8roLApzR5Fit8qGV5fVQsJV9sTZk4a",0,117,-Infinity,-Infinity,5468152
"J1to2NAwajc8hD6E6kujdQiPn1Bbt2mGKKZLY9kSQKdB",0,116,-Infinity,-Infinity,5445674
"G9x1mqewTeVnXLmv3FamYD5tq1AdS395RHH3MLQPj6TY",0,118,-Infinity,-Infinity,5112378
"H74qox1GASBWd94FWMyy6GVAbRVLf9SAMgbJ1tzSUAst",0,118,-Infinity,-Infinity,4902100
"3ZYJxzCeweSoh2Jj7oCgencFs9y27iKmXJeqYapje1cj",0,116,-Infinity,-Infinity,4758760
"AZoCYB4VgoM9DR9f1ZFcBn8xPSbtbqoxZnKJR7tkvEoX",0,116,-Infinity,-Infinity,4749977
"J1to1yufRnoWn81KYg1XkTWzmKjnYSnmE2VY8DGUJ9Qv",0,115,-Infinity,-Infinity,4718268
"55L7AV93xRmx5F7rX1GCfsHxfYWNu4bKsG6f8tG6dFRo",0,21,-Infinity,-Infinity,4486263
"DdCNGDpP7qMgoAy6paFzhhak2EeyCZcgjH7ak5u5v28m",0,118,-Infinity,-Infinity,4305164
"BLADE1qNA1uNjRgER6DtUFf7FU3c1TWLLdpPeEcKatZ2",0,116,-Infinity,-Infinity,4262784
"XzMLju7T6BSSngmsPogeuryd6uswiimkPU87gB2chho",0,17,-Infinity,-Infinity,4156095
"86dGbSrKhZHgKLWZc1hAyzQkk2asXGCFsoRsu1Ccfzd6",0,102,-Infinity,-Infinity,3963391
"GE6atKoWiQ2pt3zL7N13pjNHjdLVys8LinG8qeJLcAiL",0,117,-Infinity,-Infinity,3683850
"iZADA4YKVRJZJaDUV3j79DzyK4VJkK3DGTfvvqvbC1K",0,115,-Infinity,-Infinity,3598007
"8Pep3GmYiijRALqrMKpez92cxvF4YPTzoZg83uXh14pW",0,118,-Infinity,-Infinity,3595598
"KRAKEnMdmT4EfM8ykTFH6yLoCd5vNLcQvJwF66Y2dag",0,115,-Infinity,-Infinity,3560785
"6jzDwKeR21EFHwaRgZMefMxJ9D2vnQRqfYxkpUuJppPh",10,116,-Infinity,-Infinity,3316978
"GvZEwtCHZ7YtCkQCaLRVEXsyVvQkRDhJhQgB6akPme1e",10,116,-Infinity,-Infinity,3260681
"CertusDeBmqN8ZawdkxK5kFGMwBXdudvWHYwtNgNhvLu",0,116,-Infinity,-Infinity,3258855
"3Ty8DYNBkK237zPvACti83EJYGxDcMcoDMCou5r3eV5Q",0,116,-Infinity,-Infinity,3106267
"HxRrsnbc6K8CdEo3LCTrSUkFaDDxv9BdJsTDzBKnUVWH",10,117,-Infinity,-Infinity,2958886
"BkSS8kGUNcQkTgEKMmBhHxGVLdzw43EAzDYpZqyyxFrT",10,116,-Infinity,-Infinity,2942043
"7xENfwKCajMB5aVTgmTB6h7d7Su91wTcnfMjoAQCMvKq",0,114,-Infinity,-Infinity,2916667
"6aow5rTURdbhbeMDrFrbP2GR5vZjMEhktEy87iH1VGPs",0,117,-Infinity,-Infinity,2913043
"HhYEE3dAShc3772wEiy73XDYnLjVxyBL8eAWKyRcF14y",0,117,-Infinity,-Infinity,2835664
"F5b1wSUtpaYDnpjLQonCZC7iyFvizLcNqTactZbwSEXK",10,117,-Infinity,-Infinity,2686036
"beefKGBWeSpHzYBHZXwp5So7wdQGX6mu4ZHCsH3uTar",0,116,-Infinity,-Infinity,2662573
"6x9uLhegx488uA3dPoq8DWHS488K4FsEqeeMXeW7kQPx",0,16,-Infinity,-Infinity,2660254
"4khYzWBsGrBcvhQkA1UZbiMd51MaJ6zGgec563nqeP5A",0,115,-Infinity,-Infinity,2596537
"EXhYxF25PJEHb3v5G1HY8Jn8Jm7bRjJtaxEghGrUuhQw",0,115,-Infinity,-Infinity,2564728
"Ak5BJzQe2R8qFuyYmaAFPjXuD7XPux3ZNTv52D7rfiqR",0,117,-Infinity,-Infinity,2525384
"72LbWsZFEyB7xrB9ggeoPUrSw2vzPEnsPJJHZo1svkM7",0,116,-Infinity,-Infinity,2502415
"At2rZHk554qWrjcmdNkCQGp8i4hdKLf52EXMrDmng5ab",0,117,-Infinity,-Infinity,2502415
"oixpqSNX7CKWHw93ViA8u1CcLzZXDmacKJjV4AvxMZE",0,116,-Infinity,-Infinity,2502395
"2uXzxR2EZVaHE3CuaDaUJ8C9Qr54LMfwkY5BtRPAzbPE",0,116,-Infinity,-Infinity,2502391
"8mHUDJjzPo2AwJp8SHKmG9rk9ftWTp7UysqYz36cMpJe",0,117,-Infinity,-Infinity,2502383
"HDc84gs3CtqhebHycmoDpc5n2y3CFfd5GqYZkr2XiBMR",0,117,-Infinity,-Infinity,2500000
"BhREyEsP3YAtQbTCrKcXgTNTeaq9gdjWji3Nz4d8Q1P2",0,117,-Infinity,-Infinity,2500000
"BU3ZgGBXFJwNTrN6VUJ88k9SJ71SyWfBJTabYqRErm4F",0,116,-Infinity,-Infinity,2499999
"33hurzEz6aEnzfESL6pnNyR6DCgcKzssT1pwSzDCBTRQ",0,117,-Infinity,-Infinity,2499999
"JDMq8hxZnad2smKLGkFbfg8zVMZHKQcMugD4tMR9u2da",0,117,-Infinity,-Infinity,2499999
"E9W5kU2fnha9yp4RmFZgNNsRUvy6oKnB9ZyR9LC81WaE",0,116,-Infinity,-Infinity,2409417
"74pfDmYto6aAqCzFH1mNJ8NxF7A4LQ4cXkipGwgjY39u",0,116,-Infinity,-Infinity,2398344
"HxYHGzR58gyf6c4JAX85eK8GVuaZU2zne4be82Lq9SBQ",0,117,-Infinity,-Infinity,2322628
"CxFH1pqJnEmyaE4wEwqdqMKpQMpkmdaMxhS7SzpHokA8",0,118,-Infinity,-Infinity,2182665
"GHViLgbrJdZDPb6sphRbeuPNM9cmjsFuGWzrTF1sKF5n",0,115,-Infinity,-Infinity,2123141
"Cat8oWQiFfrR3c7BcceTYcpnYCzSWfCPjMXT7mfHXvEP",0,81,-Infinity,-Infinity,2106612
"FjkSLYmi6BJAJQn1iSLUGrPrBQjMaD4y1DVdnv3yaTsX",0,117,-Infinity,-Infinity,2083334
"Ezp1xiZC2mcenHjFB4nAfb8HW9YuGEBFit49yGG7XdAu",10,117,-Infinity,-Infinity,2082569
"A9V5e8ZLwQ2ArKZnCcrmz9Q92pDCkUXE5tqJmJDZkCMo",0,104,-Infinity,-Infinity,2075176
"9GJmEHGom9eWo4np4L5vC6b6ri1Df2xN8KFoWixvD1Bs",10,117,-Infinity,-Infinity,1962179
"ERut3CwqVeoa616QBaoHc5jL52RpkXjZZZ7MeaMaCtLi",0,101,-Infinity,-Infinity,1949989
"he1iusunGwqrNtafDtLdhsUQDFvo13z9sUa36PauBtk",10,17,-Infinity,-Infinity,1914383
