"pubkey","epochs_delegation_criteria_met_last_10","no_epochs_at_least_100_stake","max_observed_commission_last_10","max_observed_mev_commission_last_10","avg_activated_stake_last_10","total_vote_credits_last_10"
"he1iusunGwqrNtafDtLdhsUQDFvo13z9sUa36PauBtk",0,281,0,0,14141278,68912006
"CatzoSMUkTRidT5DwBxAC2pEtnwMBTpkCepHkFgZDiqb",0,286,0,0,12244836,68890694
"CcaHc2L43ZWjwCHART3oZoJvHLAe9hzT2DJNUpBzoTN1",0,381,7,700,11442342,68800196
"3N7s9zXMZ4QqvHQR15t5GNHyqc89KduzMP7423eWiD5g",0,381,0,0,10878961,68884966
"DdCNGDpP7qMgoAy6paFzhhak2EeyCZcgjH7ak5u5v28m",0,382,5,10000,8315362,68911040
"26pV97Ce83ZQ6Kz9XT4td8tdoUFPTng8Fb8gPyc53dJx",0,379,7,700,8299840,68910576
"CvSb7wdQAFpHuSpTYTJnX5SYH4hCfQ9VuGnqrKaKwycB",0,341,5,2500,8196281,68863453
"3JD3jMmnR6g88qff2WZ3cMHJRjJMUk9yVZtmYTYeFrXf",0,31,0,0,7101345,68896421
"DumiCKHVqoCQKD8roLApzR5Fit8qGV5fVQsJV9sTZk4a",0,381,0,0,6677221,68877380
"HZKopZYvv8v6un2H6KUNVQCnK5zM9emKKezvqhTBSpEc",0,382,100,10000,6449014,68884026
"9QU2QSxhb24FUX3Tu2FpczXjpK3VYrvRudywSZaM29mF",0,381,7,10000,6320480,68968208
"Ak5BJzQe2R8qFuyYmaAFPjXuD7XPux3ZNTv52D7rfiqR",0,381,10,1000,5457244,68909540
"51JBzSTU5rAM8gLAVQKgp4WoZerQcSqWC7BitBzgUNAm",0,380,10,1000,4945494,68908688
"HimWQUK61d9wxhw7EYu9jUje7xQiDs4jKexaTSvuCmXE",0,232,8,800,4777943,68909841
"CKYFpKErmUn75nS3uNcNCPXUxWSpuBqbwMM3QnwPEFHX",0,123,8,800,4628314,68910033
"9jToNMWCLW1GeoLGPZNvEfuXE4AUwiRsrC1HMGmh3PTu",4,128,2,200,3910232,68912330
"3ZYJxzCeweSoh2Jj7oCgencFs9y27iKmXJeqYapje1cj",0,380,100,10000,3886582,68912531
"Chorus6Kis8tFHA7AowrPMcRJk3LbApHTYpgSNXzY5KE",0,379,8,5000,3882991,68910207
"AaVsZUEnrHUZoXC2oVgTY3GF5GGhzCTBGrjpBtuUWy1H",0,113,8,800,3873198,68880987
"8Pep3GmYiijRALqrMKpez92cxvF4YPTzoZg83uXh14pW",0,382,100,0,3790320,68967502
"AZoCYB4VgoM9DR9f1ZFcBn8xPSbtbqoxZnKJR7tkvEoX",0,380,100,10000,3783011,68899775
"G9x1mqewTeVnXLmv3FamYD5tq1AdS395RHH3MLQPj6TY",0,382,100,10000,3742946,68912288
"H74qox1GASBWd94FWMyy6GVAbRVLf9SAMgbJ1tzSUAst",0,382,100,10000,3632060,68912088
"iZADA4YKVRJZJaDUV3j79DzyK4VJkK3DGTfvvqvbC1K",0,379,100,10000,3598006,68897987
"GHViLgbrJdZDPb6sphRbeuPNM9cmjsFuGWzrTF1sKF5n",0,379,100,10000,3486934,68912062
"6D2jqw9hyVCpppZexquxa74Fn33rJzzBx38T58VucHx9",0,380,8,800,3236547,68908755
"EcEowA4GKDsdVBF9PNAZa6c9M4WgYG8y4GnpZSUaqioS",0,76,100,10000,3026047,68909090
"HkFuE9NJahP7uA8RooXtp64UQb7XNUMVisWsJTgx3far",0,73,100,10000,3012842,68912199
"KRAKEnMdmT4EfM8ykTFH6yLoCd5vNLcQvJwF66Y2dag",0,379,10,1000,2981190,68871840
"7xENfwKCajMB5aVTgmTB6h7d7Su91wTcnfMjoAQCMvKq",0,378,100,10000,2916667,68912241
"FKsC411dik9ktS6xPADxs4Fk2SCENvAiuccQHLAPndvk",0,382,7,800,2745065,68911714
"72LbWsZFEyB7xrB9ggeoPUrSw2vzPEnsPJJHZo1svkM7",0,380,100,10000,2502415,68912174
"At2rZHk554qWrjcmdNkCQGp8i4hdKLf52EXMrDmng5ab",0,381,100,10000,2502415,68911800
"oixpqSNX7CKWHw93ViA8u1CcLzZXDmacKJjV4AvxMZE",0,380,100,10000,2502395,68906349
"2uXzxR2EZVaHE3CuaDaUJ8C9Qr54LMfwkY5BtRPAzbPE",0,380,100,10000,2502391,68912239
"8mHUDJjzPo2AwJp8SHKmG9rk9ftWTp7UysqYz36cMpJe",0,381,100,10000,2502383,68906318
"HDc84gs3CtqhebHycmoDpc5n2y3CFfd5GqYZkr2XiBMR",0,381,100,10000,2500000,68911815
"BhREyEsP3YAtQbTCrKcXgTNTeaq9gdjWji3Nz4d8Q1P2",0,381,100,10000,2500000,68912336
"33hurzEz6aEnzfESL6pnNyR6DCgcKzssT1pwSzDCBTRQ",0,381,100,10000,2499999,68900445
"BU3ZgGBXFJwNTrN6VUJ88k9SJ71SyWfBJTabYqRErm4F",0,380,100,10000,2499999,68910575
"JDMq8hxZnad2smKLGkFbfg8zVMZHKQcMugD4tMR9u2da",0,381,100,10000,2499999,68901124
"8GbwASqdpw4dVcwbWUxbHXMrjyQx2aKkoBR5H1GJF8iD",9,10,0,0,2481283,62018039
"E9W5kU2fnha9yp4RmFZgNNsRUvy6oKnB9ZyR9LC81WaE",0,380,100,10000,2409417,68912279
"HxYHGzR58gyf6c4JAX85eK8GVuaZU2zne4be82Lq9SBQ",0,381,100,10000,2322628,68907709
