"pubkey","epochs_delegation_criteria_met_last_10","no_epochs_at_least_100_stake","max_observed_commission_last_10","max_observed_mev_commission_last_10","avg_activated_stake_last_10","total_vote_credits_last_10","criteria_value_super_miniority","criteria_value_commission","criteria_value_mev_commission","criteria_value_epoch_credits","criteria_met_super_minority","criteria_met_commission","criteria_met_mev_commission","criteria_met_epoch_credits"
"he1iusunGwqrNtafDtLdhsUQDFvo13z9sUa36PauBtk",0,336,0,0,14528573,68930155,"1,1,1,1,1,1,1,1,1,1","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","6900945,6891455,6891926,6901024,6884859,6893589,6900445,6882318,6884777,6898817","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true"
"CatzoSMUkTRidT5DwBxAC2pEtnwMBTpkCepHkFgZDiqb",0,341,0,0,13202537,68926929,"1,1,1,1,1,1,1,1,1,1","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","6900711,6891004,6891726,6898537,6884921,6893760,6900864,6882430,6884295,6898681","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true"
"CcaHc2L43ZWjwCHART3oZoJvHLAe9hzT2DJNUpBzoTN1",0,436,7,700,13081037,68854822,"1,1,1,1,1,1,1,1,1,1","7,7,7,7,7,7,7,7,7,7","700,700,700,700,700,700,700,700,700,700","6900842,6891163,6891604,6897782,6870769,6877210,6894940,6852485,6881256,6896771","false,false,false,false,false,false,false,false,false,false","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true"
"3N7s9zXMZ4QqvHQR15t5GNHyqc89KduzMP7423eWiD5g",0,436,0,0,10964843,68895314,"1,1,1,1,1,1,1,1,1,1","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","6900726,6891485,6890757,6900148,6882215,6891573,6900112,6882309,6878295,6877694","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true"
"26pV97Ce83ZQ6Kz9XT4td8tdoUFPTng8Fb8gPyc53dJx",0,434,7,700,8548967,68927504,"1,1,1,1,1,1,1,1,1,1","7,7,7,7,7,7,7,7,7,7","700,700,700,700,700,700,700,700,700,700","6900764,6891673,6891753,6900646,6884614,6893366,6900772,6882352,6883294,6898270","false,false,false,false,false,false,false,false,false,false","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true"
"DdCNGDpP7qMgoAy6paFzhhak2EeyCZcgjH7ak5u5v28m",0,437,5,10000,7873775,68575925,"1,1,1,1,1,1,1,1,1,1","5,5,5,5,5,5,5,5,5,5","10000,10000,10000,10000,10000,10000,10000,10000,10000,10000","6900928,6890580,6890624,6900936,6590757,6885024,6900692,6882212,6883529,6850643","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true"
"3JD3jMmnR6g88qff2WZ3cMHJRjJMUk9yVZtmYTYeFrXf",0,86,0,0,7579769,68924963,"1,1,1,1,1,1,1,1,1,1","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","6900925,6891840,6891911,6900843,6881643,6891921,6900826,6882215,6884298,6898541","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true"
"CvSb7wdQAFpHuSpTYTJnX5SYH4hCfQ9VuGnqrKaKwycB",0,396,5,2500,7198353,68873789,"1,1,1,1,1,1,1,1,1,1","5,5,5,5,5,5,5,5,5,5","2500,2500,2500,2500,2500,2500,2500,2500,2500,2500","6900726,6884829,6891930,6901021,6855389,6885866,6893540,6882472,6880637,6897379","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true"
"9QU2QSxhb24FUX3Tu2FpczXjpK3VYrvRudywSZaM29mF",0,436,7,10000,7178308,68981843,"1,1,1,1,1,1,1,1,1,1","7,7,7,7,7,7,7,7,7,7","10000,10000,10000,10000,10000,10000,10000,10000,10000,10000","6903767,6896707,6897147,6903554,6892525,6898726,6903835,6890747,6892624,6902211","false,false,false,false,false,false,false,false,false,false","false,false,false,false,false,false,false,false,false,false","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true"
"DumiCKHVqoCQKD8roLApzR5Fit8qGV5fVQsJV9sTZk4a",0,436,0,0,6719148,68899733,"1,1,1,1,1,1,1,1,1,1","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","6898667,6889158,6888449,6899474,6883344,6889849,6891786,6880610,6882276,6896120","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true"
"51JBzSTU5rAM8gLAVQKgp4WoZerQcSqWC7BitBzgUNAm",0,435,10,1000,6037358,68927096,"1,1,1,1,1,1,1,1,1,1","10,10,10,10,10,10,10,10,10,10","1000,1000,1000,1000,1000,1000,1000,1000,1000,1000","6900912,6891709,6891562,6900572,6884652,6892232,6900526,6882054,6884592,6898285","false,false,false,false,false,false,false,false,false,false","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true"
"HZKopZYvv8v6un2H6KUNVQCnK5zM9emKKezvqhTBSpEc",0,437,100,10000,5924016,68927932,"1,1,1,1,1,1,1,1,1,1","100,100,100,100,100,100,100,100,100,100","10000,10000,10000,10000,10000,10000,10000,10000,10000,10000","6900752,6891768,6891241,6901066,6885031,6892161,6900855,6882458,6884287,6898313","false,false,false,false,false,false,false,false,false,false","false,false,false,false,false,false,false,false,false,false","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true"
"8GbwASqdpw4dVcwbWUxbHXMrjyQx2aKkoBR5H1GJF8iD",0,65,0,0,5888157,68930065,"1,1,1,1,1,1,1,1,1,1","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","6900776,6891838,6891930,6900461,6884686,6893593,6900718,6882466,6884798,6898799","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true"
"GHViLgbrJdZDPb6sphRbeuPNM9cmjsFuGWzrTF1sKF5n",0,434,100,-Infinity,4647234,68848639,"1,1,1,1,1,1,1,1,1,1","100,100,100,100,100,100,100,100,100,100","65535,65535,65535,65535,65535,65535,65535,65535,65535,65535","6900682,6891663,6817312,6900604,6884136,6893300,6900423,6882288,6880806,6897425","false,false,false,false,false,false,false,false,false,false","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true"
"HimWQUK61d9wxhw7EYu9jUje7xQiDs4jKexaTSvuCmXE",0,287,8,800,4503733,68918823,"1,1,1,1,1,1,1,1,1,1","8,8,8,8,8,8,8,8,8,8","800,800,800,800,800,800,800,800,800,800","6900511,6891992,6891931,6900908,6884992,6892292,6900831,6882406,6876400,6896560","false,false,false,false,false,false,false,false,false,false","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true"
"3ZYJxzCeweSoh2Jj7oCgencFs9y27iKmXJeqYapje1cj",0,435,100,10000,3900855,68928629,"1,1,1,1,1,1,1,1,1,1","100,100,100,100,100,100,100,100,100,100","10000,10000,10000,10000,10000,10000,10000,10000,10000,10000","6900910,6891367,6891920,6900794,6885012,6892216,6900854,6882416,6884449,6898691","false,false,false,false,false,false,false,false,false,false","false,false,false,false,false,false,false,false,false,false","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true"
"CKYFpKErmUn75nS3uNcNCPXUxWSpuBqbwMM3QnwPEFHX",0,178,8,800,3887168,68920032,"1,1,1,1,1,1,1,1,1,1","8,8,8,8,8,8,8,8,8,8","800,800,800,800,800,800,800,800,800,800","6900534,6892050,6891893,6900994,6884993,6894068,6900862,6882442,6876149,6896047","false,false,false,false,false,false,false,false,false,false","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true"
"8Pep3GmYiijRALqrMKpez92cxvF4YPTzoZg83uXh14pW",0,437,0,0,3884875,68927238,"1,1,1,1,1,1,1,1,1,1","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","6900719,6891517,6891850,6900910,6884716,6891711,6900874,6882213,6884186,6898542","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true"
"AZoCYB4VgoM9DR9f1ZFcBn8xPSbtbqoxZnKJR7tkvEoX",0,435,100,10000,3815889,68920999,"0,0,0,1,1,1,1,1,1,1","100,100,100,100,100,100,100,100,100,100","10000,10000,10000,10000,10000,10000,10000,10000,10000,10000","6900905,6883722,6891716,6900916,6885013,6892235,6900887,6882444,6884513,6898648","true,true,true,false,false,false,false,false,false,false","false,false,false,false,false,false,false,false,false,false","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true"
"G9x1mqewTeVnXLmv3FamYD5tq1AdS395RHH3MLQPj6TY",0,437,100,10000,3805137,68929158,"1,1,1,0,0,0,0,1,1,1","100,100,100,100,100,100,100,100,100,100","10000,10000,10000,10000,10000,10000,10000,10000,10000,10000","6900925,6891381,6891553,6900559,6884675,6893571,6900844,6882452,6884499,6898699","false,false,false,true,true,true,true,false,false,false","false,false,false,false,false,false,false,false,false,false","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true"
"EcEowA4GKDsdVBF9PNAZa6c9M4WgYG8y4GnpZSUaqioS",0,131,100,10000,3727307,68928738,"0,0,0,0,0,0,0,0,0,0","100,100,100,100,100,100,100,100,100,100","10000,10000,10000,10000,10000,10000,10000,10000,10000,10000","6900703,6891894,6891880,6900969,6884957,6892237,6900677,6882420,6884302,6898699","true,true,true,true,true,true,true,true,true,true","false,false,false,false,false,false,false,false,false,false","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true"
"HkFuE9NJahP7uA8RooXtp64UQb7XNUMVisWsJTgx3far",0,128,100,10000,3658065,68931035,"0,0,0,0,0,0,0,0,0,0","100,100,100,100,100,100,100,100,100,100","10000,10000,10000,10000,10000,10000,10000,10000,10000,10000","6900903,6891902,6891924,6900984,6885004,6893961,6900875,6882458,6884294,6898730","true,true,true,true,true,true,true,true,true,true","false,false,false,false,false,false,false,false,false,false","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true"
"iZADA4YKVRJZJaDUV3j79DzyK4VJkK3DGTfvvqvbC1K",0,434,100,10000,3598006,68928306,"0,0,0,0,0,0,0,0,0,0","100,100,100,100,100,100,100,100,100,100","10000,10000,10000,10000,10000,10000,10000,10000,10000,10000","6900601,6891478,6891828,6900884,6883629,6894044,6900738,6882025,6884456,6898623","true,true,true,true,true,true,true,true,true,true","false,false,false,false,false,false,false,false,false,false","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true"
"H74qox1GASBWd94FWMyy6GVAbRVLf9SAMgbJ1tzSUAst",0,437,100,10000,3553629,68929539,"0,0,0,0,0,0,0,0,0,0","100,100,100,100,100,100,100,100,100,100","10000,10000,10000,10000,10000,10000,10000,10000,10000,10000","6900739,6892086,6891943,6900998,6884998,6892295,6900894,6882466,6884403,6898717","true,true,true,true,true,true,true,true,true,true","false,false,false,false,false,false,false,false,false,false","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true"
"9jToNMWCLW1GeoLGPZNvEfuXE4AUwiRsrC1HMGmh3PTu",10,183,2,200,3517841,68929767,"0,0,0,0,0,0,0,0,0,0","2,2,2,2,2,2,2,2,2,2","200,200,200,200,200,200,200,200,200,200","6900926,6892064,6891922,6900994,6885007,6892379,6900889,6882463,6884505,6898618","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true"
"FKsC411dik9ktS6xPADxs4Fk2SCENvAiuccQHLAPndvk",0,437,7,800,3307307,68527943,"0,0,0,0,0,0,0,0,0,0","7,7,7,7,7,7,7,7,7,7","800,800,800,800,800,800,800,800,800,800","6900751,6891085,6681417,6900971,6694109,6893840,6900573,6882254,6884487,6898456","true,true,true,true,true,true,true,true,true,true","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true"
"shft7Fry1js37Hm9wq4dfwcZSp2DyKszeWMvEpjYCQ1",10,126,0,1000,3289228,68982524,"0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","1000,1000,1000,1000,1000,1000,1000,1000,1000,1000","6903921,6897588,6897823,6904073,6892372,6898572,6903904,6889620,6892197,6902454","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true"
"Ak5BJzQe2R8qFuyYmaAFPjXuD7XPux3ZNTv52D7rfiqR",0,436,10,1000,2960610,68928183,"0,0,0,0,0,0,0,0,0,0","10,10,10,10,10,10,10,10,10,10","1000,1000,1000,1000,1000,1000,1000,1000,1000,1000","6900496,6891840,6891551,6900473,6884559,6893601,6900595,6882247,6884205,6898616","true,true,true,true,true,true,true,true,true,true","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true"
"7xENfwKCajMB5aVTgmTB6h7d7Su91wTcnfMjoAQCMvKq",0,433,100,10000,2916667,68928842,"0,0,0,0,0,0,0,0,0,0","100,100,100,100,100,100,100,100,100,100","10000,10000,10000,10000,10000,10000,10000,10000,10000,10000","6900711,6891687,6891823,6900783,6884671,6893576,6900837,6882400,6883958,6898396","true,true,true,true,true,true,true,true,true,true","false,false,false,false,false,false,false,false,false,false","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true"
"AaVsZUEnrHUZoXC2oVgTY3GF5GGhzCTBGrjpBtuUWy1H",0,168,8,800,2888390,68929225,"0,0,0,0,0,0,0,0,0,0","8,8,8,8,8,8,8,8,8,8","800,800,800,800,800,800,800,800,800,800","6900740,6891771,6891591,6900594,6884645,6893566,6900843,6882463,6884293,6898719","true,true,true,true,true,true,true,true,true,true","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true"
